,title,synopsis,label
24,Twelve Monkeys,"in the year 2035, convict james cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. but when cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. there he meets psychiatrist dr. kathryn railly, and patient jeffrey goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the army of the 12 monkeys, thought to be responsible for unleashing the killer disease.",2
25,8 Mile,"the setting is detroit in 1995. the city is divided by 8 mile, a road that splits the town in half along racial lines. a young white rapper, jimmy ""b-rabbit"" smith jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. with his pal future and the three one third in place, all he has to do is not choke.",7
26,Absolute Power,"a master thief coincidentally is robbing a house where a murder—in which the president of the united states is involved—occurs in front of his eyes. he is forced to run, while holding evidence that could convict the president.",2
27,Paradise Now,two childhood friends are recruited for a suicide bombing in tel aviv.,3
28,Brazil,"low-level bureaucrat sam lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist harry tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",5
29,Walk the Line,"a chronicle of country music legend johnny cash's life, from his early days on an arkansas cotton farm to his rise to fame with sun records in memphis, where he recorded alongside elvis presley, jerry lee lewis and carl perkins.",5
30,Million Dollar Baby,"despondent over a painful estrangement from his daughter, trainer frankie dunn isn't prepared for boxer maggie fitzgerald to enter his life. but maggie's determined to go pro and to convince dunn and his cohort to help her.",5
31,Billy Elliot,"set against the background of the 1984 miners' strike, 11-year-old billy elliot stumbles out of the boxing ring and onto the ballet floor. he faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes.",1
32,American History X,"derek vineyard is paroled after serving 3 years in prison for killing two african-american men. through his brother, danny vineyard's narration, we learn that before going to prison, derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout l.a. and his actions greatly influenced danny. reformed and fresh out of prison, derek severs contact with the gang and becomes determined to keep danny from going down the same violent path as he did.",2
33,War of the Worlds,"ray ferrier is a divorced dockworker and less-than-perfect father. soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",8
34,Mars Attacks!,"'we come in peace' is not what those green men from mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  this star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",12
35,Before Sunrise,"on his way to vienna, american jesse meets céline, a student returning to paris. after long conversations forge a surprising connection between them, jesse convinces celine to get off the train with him in vienna. since his flight to the u.s. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of vienna and each other.",3
36,Memento,"leonard shelby is tracking down the man who raped and murdered his wife. the difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. although he can recall details of life before his accident, leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",8
37,Blade Runner,"in the smog-choked dystopian los angeles of 2019, blade runner rick deckard is called out of retirement to terminate a quartet of replicants who have escaped to earth seeking their creator for a way to extend their short life spans.",5
38,Before Sunset,"nine years later, jesse travels across europe giving readings from a book he wrote about the night he spent in vienna with celine. after his reading in paris, celine finds him, and they spend part of the day together before jesse has to again leave for a flight. they are both in relationships now, and jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",3
39,Miami Vice,"a case involving drug lords and murder in south florida takes a personal turn for undercover detectives sonny crockett and ricardo tubbs. unorthodox crockett gets involved romantically with the chinese-cuban wife of a trafficker of arms and drugs, while tubbs deals with an assault on those he loves.",2
40,Open Water,"two divers are left out at sea without a boat. there’s nothing but water for miles, unless they look at what’s underneath them...",3
41,Raiders of the Lost Ark,"when dr. indiana jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary ark of the covenant, he finds himself up against the entire nazi regime.",3
42,Indiana Jones and the Temple of Doom,"after arriving in india, indiana jones is asked by a desperate village to find a mystical stone. he agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",3
43,Dirty Dancing,"expecting the usual tedium that accompanies a summer in the catskills with her family, 17-year-old frances 'baby' houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",1
44,Indiana Jones and the Last Crusade,"when dr. henry jones sr. suddenly goes missing while pursuing the holy grail, eminent archaeologist indiana must team up with marcus brody, sallah and elsa schneider to follow in his father's footsteps and stop the nazis from recovering the power of eternal life.",5
45,Beverly Hills Cop,"the heat is on in this fast paced action-comedy starring eddie murphy as axel foley, a street smart detroit cop tracking down his best friend's killer in beverly hills. axel quickly learns that his wild style doesn't fit in with the beverly hills police department, which assigns two officers (judge reinhold & john ashton) to make sure things don't get out of hand. dragging the stuffy detectives along for the ride, axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. featuring cameos by paul reiser, bronson pinchot and damon wayans, beverly hills cop is an exhilarating, sidesplitting adventure.",2
46,Megacities,megacities is a documentary about the slums of five different metropolitan cities.,0
47,Anatomy of a Murder,"semi-retired michigan lawyer paul biegler takes the case of army lt. manion, who murdered a local innkeeper after his wife claimed that he raped her. over the course of an extensive trial, biegler parries with district attorney lodwick and out-of-town prosecutor claude dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.",2
48,Kunstgriff,kunstgriff is a brilliantly filmed black and white short film. andre f. nebe gives proof of his storytelling abilities in this 6 minute film.,0
49,Armageddon,"when an asteroid threatens to collide with earth, nasa honcho dan truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. this leads him to renowned driller harry stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. among them is the cocksure a.j. who harry thinks isn't good enough for his daughter, until the mission proves otherwise.",12
50,Beverly Hills Cop II,"axel heads for the land of sunshine and palm trees to find out who shot police captain andrew bogomil. thanks to a couple of old friends, axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on.",2
51,Tron,"as kevin flynn searches for proof that he invented a hit video game, he is 'digitalized' by a laser and finds himself inside 'the grid', where programs suffer under the tyrannical rule of the master control program (mcp). with the help of a security program called 'tron', flynn seeks to free the grid from the mcp.",3
52,Gladiator,"in the year 180, the death of emperor marcus aurelius throws the roman empire into chaos.  maximus is one of the roman army's most capable and trusted generals and a key advisor to the emperor.  as marcus' devious son commodus ascends to the throne, maximus is set to be executed.  he escapes, but is captured by slave traders.  renamed spaniard and forced to become a gladiator, maximus must battle to the death with other men for the amusement of paying audiences.",3
53,"Lock, Stock and Two Smoking Barrels",a card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. to do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,3
54,Léon: The Professional,"léon, the top hit man in new york, has earned a rep as an effective ""cleaner"". but when his next-door neighbors are wiped out by a loose-cannon dea agent, he becomes the unwilling custodian of 12-year-old mathilda. before long, mathilda's thoughts turn to revenge, and she considers following in léon's footsteps.",1
55,Taxi Driver,"a mentally unstable vietnam war veteran works as a night-time taxi driver in new york city where the perceived decadence and sleaze feed his urge for violent action, attempting to save a preadolescent prostitute in the process.",4
56,Back to the Future,"eighties teenager marty mcfly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend doc brown - return to 1985.",11
57,Predator,"dutch and his group of commandos are hired by the cia to rescue downed airmen from guerillas in a central american jungle. the mission goes well but as they return they find that something is hunting them. nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.",12
58,Snatch,"unscrupulous boxing promoters, violent bookmakers, a russian gangster, incompetent amateur robbers and supposedly jewish jewelers fight to track down a priceless stolen diamond.",3
59,Scarface,"after getting a green card in exchange for assassinating a cuban government official, tony montana stakes a claim on the drug trade in miami. viciously murdering anyone who stands in his way, tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through miami. but increased pressure from the police, wars with colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",2
60,Pretty Woman,"when a millionaire wheeler-dealer enters a business contract with a hollywood hooker vivian ward, he loses his heart in the bargain.",3
61,The Big Lebowski,"jeffrey 'the dude' lebowski, a los angeles slacker who only wants to bowl and drink white russians, is mistaken for another jeffrey lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",0
62,Match Point,"match point is woody allen’s satire of the british high society and the ambition of a young tennis instructor to enter into it. yet when he must decide between two women - one assuring him his place in high society, and the other that would take him far from it - palms start to sweat and a dark psychological match in his head begins.",6
63,The Untouchables,"young treasury agent elliot ness arrives in chicago and is determined to take down al capone, but it's not going to be easy because capone has the police in his pocket. ness meets jimmy malone, a veteran patrolman and probably the most honorable one on the force. he asks malone to help him get capone, but malone warns him that if he goes after capone, he is going to war.",2
64,Charlie and the Chocolate Factory,"a young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",9
65,The Lord of the Rings: The Fellowship of the Ring,"young hobbit frodo baggins, after inheriting a mysterious ring from his uncle bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: mt. doom, the only place where it can be destroyed.",9
66,The Lord of the Rings: The Two Towers,"frodo and sam are trekking to mordor to destroy the one ring of power while gimli, legolas and aragorn search for the orc-captured merry and pippin. all along, nefarious wizard saruman awaits the fellowship members at the orthanc tower in isengard.",3
67,The Lord of the Rings: The Return of the King,"aragorn is revealed as the heir to the ancient kings as he, gandalf and the other members of the broken fellowship struggle to save gondor from sauron's forces. meanwhile, frodo and sam take the ring closer to the heart of mordor, the dark lord's realm.",3
68,The Lord of the Rings,the fellowship of the ring embark on a journey to destroy the one ring and end sauron's reign over middle-earth.,12
69,Gimme Shelter,"the landmark documentary about the tragically ill-fated rolling stones free concert at altamont speedway on december 6, 1969. only four months earlier, woodstock defined the love generation; now it lay in ruins on a desolate racetrack six miles outside of san francisco.",0
70,Primary,primary is a documentary film about the primary elections between john f. kennedy and hubert humphrey in 1960. primary is the first documentary to use light equipment in order to follow their subjects in a more intimate filmmaking style. this unconventional way of filming created a new look for documentary films where the camera’s lens was right in the middle of what ever drama was occuring.,0
71,"O Brother, Where Art Thou?","in the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. on their journey they come across many comical characters and incredible situations. based upon homer's 'odyssey'.",3
72,Dont Look Back,"in this wildly entertaining vision of one of the twentieth century’s greatest artists, bob dylan is surrounded by teen fans, gets into heated philosophical jousts with journalists, and kicks back with fellow musicians joan baez, donovan, and alan price.",3
73,Freaks,"a circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",3
74,Groundhog Day,"a narcissistic tv weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on groundhog day in the small town of punxsutawney, where he finds himself repeating the same day over and over.",7
75,Dracula,"a powerful and ruthless vampire named count dracula arrives in london to prey on young, socialite women. standing in the vampire's way, is a group of concerned men and the enigmatic dr. abraham van helsing.",9
76,Donnie Darko,"after narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",3
77,Brokeback Mountain,"two modern-day cowboys meet on a shepherding job in the summer of '63, the two share a raw and powerful summer together that turns into a lifelong relationship conflict",3
78,All Quiet on the Western Front,"a young soldier faces profound disillusionment in the soul-destroying horror of world war i. together with several other young german soldiers, he experiences the horrors of war, such evil of which he had not conceived of when signing up to fight. they eventually become sad, tormented, and confused of their purpose.",12
79,The Secret Life of Words,a touching story of a deaf girl who is sent to an oil rig to take care of a man who has been blinded in a terrible accident. the girl has a special ability to communicate with the men on board and especially with her patient as they share intimate moments together that will change their lives forever.,13
80,48 Hrs.,"a hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",2
81,Star Trek: The Motion Picture,"when a destructive space entity is spotted approaching earth, admiral kirk resumes command of the starship enterprise in order to intercept, examine, and hopefully stop it.",12
82,Lost in Translation,"two lost souls visiting tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a tv commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in america.",8
83,Star Trek II: The Wrath of Khan,"it is the 23rd century. the federation starship u.s.s. enterprise™ is on routine training maneuvers and admiral james t. kirk (william shatner) seems resigned to the fact that this inspection may well be the last space mission of his career. but khan is back. aided by his exiled band of genetic supermen, khan (ricardo montalban) - brilliant renegade of 20th century earth - has raided space station regula one, stolen a top secret device called project genesis, wrested control of another federation starship and sets out in pursuit of the enterprise, determined to let nothing stand in the way of his mission: kill admiral kirk... even if it means universal armageddon.",12
84,The Dark Knight,"batman raises the stakes in his war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman sets out to dismantle the remaining criminal organizations that plague the streets. the partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker.",2
85,Star Trek III: The Search for Spock,admiral kirk and his bridge crew risk their careers stealing the decommissioned enterprise to return to the restricted genesis planet to recover spock's body.,12
86,Ocean's Eleven,"less than 24 hours into his parole, charismatic thief danny ocean is already rolling out his next plan: in one night, danny's hand-picked crew of specialists will attempt to steal more than $150 million from three las vegas casinos. but to score the cash, danny risks his chances of reconciling with ex-wife, tess.",8
87,Edward Scissorhands,a small suburban town receives a visit from a castaway unfinished science experiment named edward.,7
88,Ocean's Twelve,"danny ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in rome, paris and amsterdam – but a europol agent is hot on their heels.",3
89,Breakfast at Tiffany's,"holly golightly is an eccentric new york city playgirl determined to marry a brazilian millionaire. but when young writer paul varjak moves into her apartment building, her past threatens to get in their way.",4
90,Back to the Future Part II,"marty and doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some mcfly family woes in the bud. but things go awry thanks to bully biff tannen and a pesky sports almanac. in a last-ditch attempt to set things straight, marty finds himself bound for 1955 and face to face with his teenage parents -- again.",11
91,K-PAX,"prot is a patient at a mental hospital who claims to be from a far away planet. his psychiatrist tries to help him, only to begin to doubt his own explanations.",3
92,Star Trek IV: The Voyage Home,"it's the 23rd century, and a mysterious alien power is threatening earth by evaporating the oceans and destroying the atmosphere. in a frantic attempt to save mankind, kirk and his crew must time travel back to 1986 san francisco where they find a world of punk, pizza and exact-change buses that are as alien as anything they've ever encountered in the far reaches of the galaxy. a thrilling, action-packed star trek adventure!",12
93,Predator 2,"ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to earth—and this time, it’s drawn to the gang-ruled and ravaged city of los angeles. when it starts murdering drug dealers, detective-lieutenant mike harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.",2
94,28 Days Later,"twenty-eight days after a killer virus was accidentally unleashed from a british research facility, a small group of london survivors are caught in a desperate struggle to protect themselves from the infected. carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",2
95,Star Trek V: The Final Frontier,"the crew of the federation starship enterprise is called to nimbus iii, the planet of intergalactic peace. they are to negotiate in a case of kidnapping only to find out that the kidnapper is a relative of spock. this man is possessed by his life long search for the planet shaka-ri which is supposed to be the source of all life. together they begin to search for this mysterious planet.",12
96,"20,000 Leagues Under the Sea","a ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the nautilus, commanded by captain nemo.",3
97,Star Trek VI: The Undiscovered Country,"after years of war, the federation and the klingon empire find themselves on the brink of a peace summit when a klingon ship is nearly destroyed by an apparent attack from the enterprise. both worlds brace for what may be their dealiest encounter.",12
98,Saw,"obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. once captured, they must face impossible choices in a horrific game of survival. the victims must fight to win their lives back, or die trying...",2
99,The Fisher King,two troubled men face their terrible destinies and events of their past as they join together on a mission to find the holy grail and thus to save themselves.,3
100,Blown Away,blown away tells the story of jimmy dove who works for the boston bomb squad. shortly after dove leaves the force his partner is killed by a bomb that dove thinks might have been made by someone he knows.,3
101,The Interpreter,"after silvia broome, an interpreter at united nations headquarters, overhears plans of an assassination, an american secret service agent is sent to investigate.",2
102,Minority Report,"john anderton is a top 'precrime' cop in the late-21st century, when technology can predict crimes before they're committed. but anderton becomes the quarry when another investigator targets him for a murder charge.",2
103,The Good German,an american journalist arrives in berlin just after the end of world war two. he becomes involved in a murder mystery surrounding a dead gi who washes up at a lakeside mansion during the potsdam negotiations between the allied powers. soon his investigation connects with his search for his married pre-war german lover.,12
104,The Wizard,"corey refuses to let his emotionally disturbed younger brother jimmy be institutionalized, and the two run away together. they soon join forces with a resourceful girl, who notices that jimmy has a special talent: he is a ""wizard"" at video games and can achieve the high score on absolutely everything he plays. evading their parents and a sinister bounty hunter, the trio head for a climactic showdown at the national video game championships in california.",3
105,Jackie Brown,"jackie brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. when the cops try to use jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself.",3
106,A Clockwork Orange,"in a near-future britain, young alexander delarge and his pals get their kicks beating and raping anyone they please. when not destroying the lives of others, alex swoons to the music of beethoven. the state, eager to crack down on juvenile crime, gives an incarcerated alex the option to undergo an invasive procedure that'll rob him of all personal agency. in a time when conscience is a commodity, can alex change his tune?",9
107,Lucky Number Slevin,"slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. under constant watch, slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. a film with many twists and turns.",12
108,Sin City,"welcome to sin city. this town beckons to the tough, the corrupt, the brokenhearted. some call it dark… hard-boiled. then there are those who call it home — crooked cops, sexy dames, desperate vigilantes. some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. a universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",7
109,Sin City: A Dame to Kill For,some of sin city's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,3
110,The Name of the Rose,"14th-century franciscan monk william of baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. to solve the crimes, william must rise up against the church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable.",9
111,Star Trek: Generations,captain jean-luc picard and the crew of the enterprise-d find themselves at odds with the renegade scientist soran who is destroying entire star systems. only one man can help picard stop soran's scheme...and he's been dead for seventy-eight years.,3
112,Trouble in Paradise,"thief gaston monescu and pickpocket lily are partners in crime and love. working for perfume company executive mariette colet, the two crooks decide to combine their criminal talents to rob their employer. under the alias of monsieur laval, gaston uses his position as mariette's personal secretary to become closer to her. however, he takes things too far when he actually falls in love with mariette, and has to choose between her and lily.",8
113,Back to the Future Part III,"the final installment of the back to the future trilogy finds marty digging the trusty delorean out of a mineshaft and looking for doc in the wild west of 1885. but when their time machine breaks down, the travelers are stranded in a land of spurs. more problems arise when doc falls for pretty schoolteacher clara clayton, and marty tangles with buford tannen.",3
114,Braveheart,"enraged at the slaughter of murron, his new bride and childhood love, scottish warrior william wallace slays a platoon of the local english lord's soldiers. this leads the village to revolt and, eventually, the entire country to rise up against english rule.",3
115,To Be or Not to Be,"during the nazi occupation of poland, an acting troupe becomes embroiled in a polish soldier's efforts to track down a german spy.",3
116,Star Trek: First Contact,"the borg, a relentless race of cyborgs, are on a direct course for earth. violating orders to stay away from the battle, captain picard and the crew of the newly-commissioned uss enterprise e pursue the borg back in time to prevent the invaders from changing federation history and assimilating the galaxy.",12
117,Star Trek: Insurrection,"when an alien race and factions within starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon captain picard and the crew of the enterprise to defend the planet's people as well as the very ideals upon which the federation itself was founded.",12
118,Star Trek: Nemesis,"en route to the honeymoon of william riker to deanna troi on her home planet of betazed, captain jean-luc picard and the crew of the u.s.s. enterprise receives word from starfleet that a coup has resulted in the installation of a new romulan political leader, shinzon, who claims to seek peace with the human-backed united federation of planets. once in enemy territory, the captain and his crew make a startling discovery: shinzon is human, a slave from the romulan sister planet of remus, and has a secret, shocking relationship to picard himself.",12
119,Mean Streets,"a small-time hood must choose from among love, friendship and the chance to rise within the mob.",8
120,Hotel Rwanda,"inspired by true events, this film takes place in rwanda in the 1990s when more than a million tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. hotel owner paul rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.",0
121,Paradise Found,"paradise found is a biography about the painter paul gauguin. focusing on his personal conflict between citizen life and his family life and the art scene in frane. in an incredible imagery montage gauguin manages to make a successful living in the south pacific, while being in opposition to france.",5
122,Dead Poets Society,"at an elite, old-fashioned boarding school in new england, a passionate english teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",6
123,Arsenic and Old Lace,"mortimer brewster, a newspaper drama critic, playwright and author known for his diatribes against marriage, suddenly falls in love and gets married;  but when he makes a quick trip home to tell his two maiden aunts, he finds out his aunts' hobby - killing lonely old men and burying them in the cellar!",8
124,North by Northwest,"advertising man roger thornhill is mistaken for a spy, triggering a deadly cross-country chase.",13
125,Saw III,"jigsaw has disappeared. along with his new apprentice amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. while city detective scramble to locate him, doctor lynn denlon and jeff reinhart are unaware that they are about to become the latest pawns on his vicious chessboard.",2
126,Saw II,"when a new murder victim is discovered with all the signs of jigsaw's hand, detective eric matthews begins a full investigation and apprehends jigsaw with little effort. but for jigsaw, getting caught is just another part of his plan. eight more of his victims are already fighting for their lives and now it's time for matthews to join the game.",2
127,Indiana Jones and the Kingdom of the Crystal Skull,"set during the cold war, the soviets—led by sword-wielding irina spalko—are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold. indy is coerced to head to peru at the behest of a young man whose friend—and indy's colleague—professor oxley has been captured for his knowledge of the skull's whereabouts.",9
128,The Terminator,"in the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""terminator"" back to 1984 to kill sarah connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. meanwhile, the human-resistance movement dispatches a lone warrior to safeguard sarah. can he stop the virtually indestructible killing machine?",3
129,East of Eden,"teenage cal trask longs for the affection that his father reserves for his brother aron, but his efforts meet only rejection. also attracted to aron's girlfriend, cal becomes so frustrated in his search for love and acceptance that he reveals a long-held secret about their mother to aron – knowledge that now tears the family apart.",11
